Ticker,Type,Période_détail,Période,en XOF,Chiffre d'Affaires,Résultat d'Exploitation,Résultat Financier,Résultat des activités ordinaires,Résultat Hors Activités Ordinaires,Résultat Net,Total Bilan,,Produit net bancaire,Résultat Brut d'Exploitation,Coût du risque,Créances sur la clientèle,Dettes à l'égard de la clientèle,Résultat avant impôts,EBITDAal
TTLC,Trimestriel,T1,1ertrimestre2022,* Données trimestrielles en millions de XOF,133247,,,4102,,3092,,,,,,,,,
TTLC,Trimestriel,T1,1ertrimestre2021,* Données trimestrielles en millions de XOF,113698,,,3224,,2291,,,,,,,,,
TTLC,Trimestriel,T1,1ertrimestre2020,* Données trimestrielles en millions de XOF,114605,,,2295,,1666,,,,,,,,,
TTLC,Trimestriel,T1,1ertrimestre2019,* Données trimestrielles en millions de XOF,107519,,,3276,,3077,,,,,,,,,
TTLC,Trimestriel,T1,1ertrimestre2016,* Données trimestrielles en millions de XOF,82129,,,2452,,-,,,,,,,,,
TTLC,Trimestriel,T3,3èmetrimestre2024,* Données trimestrielles en millions de XOF,464969,,,11776,,9334,,,,,,,,,
TTLC,Trimestriel,T3,3èmetrimestre2023,* Données trimestrielles en millions de XOF,430882,,,10571,,8402,,,,,,,,,
TTLC,Trimestriel,T3,3èmetrimestre2022,* Données trimestrielles en millions de XOF,419384,,,11971,,9149,,,,,,,,,
TTLC,Trimestriel,T3,3èmetrimestre2021,* Données trimestrielles en millions de XOF,366733,,,11798,,8643,,,,,,,,,
TTLC,Trimestriel,T3,3èmetrimestre2020,* Données trimestrielles en millions de XOF,308321,,,6856,,5589,,,,,,,,,
TTLC,Trimestriel,T3,3èmetrimestre2019,* Données trimestrielles en millions de XOF,333734,,,9019,,7485,,,,,,,,,
TTLC,Trimestriel,T3,3èmetrimestre2018,* Données trimestrielles en millions de XOF,312932,,,11895,,9788,,,,,,,,,
TTLC,Trimestriel,T3,3èmetrimestre2017,* Données trimestrielles en millions de XOF,263747,,,9327,,6593,,,,,,,,,
TTLC,Autres,T1,2025,* Données trimestrielles en millions de XOF,147983,,,3137,,2207,,,,,,,,,
TTLS,Annuel,An,2024,* Données annuelles en milliers de XOF,484944861,7470764,1854764,9325529,109568,7090811,201307697,,,,,,,,
TTLS,Annuel,An,2023,* Données annuelles en milliers de XOF,499194465,6675751,330285,7006036,-9049,4222465,203539373,,,,,,,,
TTLS,Annuel,An,2022,* Données annuelles en milliers de XOF,477813063,11864241,856937,12721178,3981,8475035,199056097,,,,,,,,
TTLS,Annuel,An,2021,* Données annuelles en milliers de XOF,395457753,8256909,-246621,8010288,-123402,4692897,140252436,,,,,,,,
TTLS,Annuel,An,2020,* Données annuelles en milliers de XOF,384493246,10595916,-1198915,9397001,205588,6063978,135478353,,,,,,,,
TTLS,Annuel,An,2019,* Données annuelles en milliers de XOF,448269120,12247886,-1952410,10295476,-248615,5827011,176667873,,,,,,,,
TTLS,Annuel,An,2018,* Données annuelles en milliers de XOF,382174558,11052739,-969856,10082883,-100677,6342187,141006569,,,,,,,,
TTLS,Annuel,An,2017,* Données annuelles en milliers de XOF,309648408,7606367,-870000,6736367,-40968,4156435,110904352,,,,,,,,
TTLS,Annuel,An,2016,* Données annuelles en milliers de XOF,293540998,2118493,-187859,1930634,-208785,-48280,108840096,,,,,,,,
TTLS,Annuel,An,2015,* Données annuelles en milliers de XOF,357211299,4384414,-202216,4182198,2270735,3953008,122126973,,,,,,,,
TTLS,Semestriel,S1,1ersemestre2024,* Données semestrielles en millions de XOF,242881,3269,2048,5316,,3840,,,,,,,,,
TTLS,Semestriel,S1,1ersemestre2023,* Données semestrielles en millions de XOF,247469,6255,-1015,5240,,2924,,,,,,,,,
TTLS,Semestriel,S1,1ersemestre2022,* Données semestrielles en millions de XOF,231373,-,-,7320,,-,,,,,,,,,
TTLS,Semestriel,S1,1ersemestre2021,* Données semestrielles en millions de XOF,183186,-,-,4318,,-,,,,,,,,,
TTLS,Semestriel,S1,1ersemestre2020,* Données semestrielles en millions de XOF,197020,-,-,4265,,-,,,,,,,,,
TTLS,Semestriel,S1,1ersemestre2019,* Données semestrielles en millions de XOF,216680,-,-,6085,,-,,,,,,,,,
TTLS,Semestriel,S1,1ersemestre2018,* Données semestrielles en millions de XOF,184892,-,-,5407,,-,,,,,,,,,
TTLS,Semestriel,S1,1ersemestre2017,* Données semestrielles en millions de XOF,152488,-,-,3015,,-,,,,,,,,,
TTLS,Semestriel,S1,1ersemestre2016,* Données semestrielles en millions de XOF,154766,-,-,1262,,-,,,,,,,,,
TTLS,Trimestriel,T1,1ertrimestre2025,* Données trimestrielles en millions de XOF,110814,,,2051,,1513,,,,,,,,,
TTLS,Trimestriel,T1,1ertrimestre2024,* Données trimestrielles en millions de XOF,126905,,,2315,,1627,,,,,,,,,
TTLS,Trimestriel,T1,1ertrimestre2023,* Données trimestrielles en millions de XOF,124058,,,3115,,-,,,,,,,,,
TTLS,Trimestriel,T1,1ertrimestre2022,* Données trimestrielles en millions de XOF,103605,,,2529,,-,,,,,,,,,
TTLS,Trimestriel,T1,1ertrimestre2021,* Données trimestrielles en millions de XOF,87409,,,1875,,-,,,,,,,,,
TTLS,Trimestriel,T1,1ertrimestre2020,* Données trimestrielles en millions de XOF,116813,,,3769,,-,,,,,,,,,
TTLS,Trimestriel,T1,1ertrimestre2017,* Données trimestrielles en millions de XOF,75838,,,980,,-,,,,,,,,,
TTLS,Trimestriel,T1,1ertrimestre2016,* Données trimestrielles en millions de XOF,78221,,,-499,,-,,,,,,,,,
TTLS,Trimestriel,T3,3èmetrimestre2024,* Données trimestrielles en millions de XOF,371263,,,8065,,5824,,,,,,,,,
TTLS,Trimestriel,T3,3èmetrimestre2023,* Données trimestrielles en millions de XOF,313038,,,8319,,5308,,,,,,,,,
