Ticker,Période,Période_détail,CA_PNB,Total Bilan,RE_RBE,Résultat Net,Capitaux propres
BICC,2013,An,32655000000.0,428742000000.0,9638000000.0,9269000000.0,50163555209.0
BNBC,2013,An,35277617152.0,32554391492.0,,,11745118829.0
BOAB,2013,An,30147051876.0,648427574471.0,13878836395.0,5533626757.0,52831100079.0
BOABF,2013,An,25023906115.0,414027235113.0,14636993989.0,10153066598.0,34145388851.0
BOAC,2013,An,16836000000.0,355080000000.0,7068000000.0,5051000000.0,20785000000.0
BOAN,2013,An,11765509963.0,192790915994.0,5615819602.0,3864782222.0,22905837711.0
BOAS,2013,An,11280217836.0,192358000000.0,4948805488.0,2650000000.0,19344845368.0
CABC,2013,An,10353943433.0,8620731990.0,1348684079.0,1015630579.0,4691995358.0
ABJC,2014,An,7783199327.0,4492661242.0,1696901810.0,1249227422.0,2805084639.0
BICC,2014,An,37976000000.0,514528000000.0,14107000000.0,10106000000.0,50618000000.0
BNBC,2014,An,39015142379.0,39015142379.0,,,
BOAB,2014,An,34479413987.0,773206878387.0,17287395301.0,11939703761.0,60897265111.0
BOABF,2014,An,26686397417.0,497141386297.0,14707107973.0,10478334672.0,44127723523.0
BOAC,2014,An,24900000000.0,691246000000.0,13500000000.0,8100000000.0,30541000000.0
BOAN,2014,An,14347329289.0,233126138696.0,7548443857.0,5096214126.0,25174133373.0
BOAS,2014,An,16143000000.0,285085000000.0,7358000000.0,3376000000.0,26560231211.0
CABC,2014,An,11045519445.0,9636935831.0,948870009.0,700188579.0,4533992077.0
ABJC,2015,An,10798118386.0,8415117319.0,2180387359.0,1582327569.0,3841812208.0
BICC,2015,An,38328000000.0,594718000000.0,12794000000.0,9202000000.0,53634000000.0
BNBC,2015,An,44696928000.0,38685920000.0,3511022000.0,2343210000.0,12266101000.0
BOAB,2015,An,39186000000.0,850524000000.0,20061000000.0,12533000000.0,65072108167.0
BOABF,2015,An,31317000000.0,656797000000.0,17288000000.0,12028000000.0,49527970028.0
BOAC,2015,An,25269000000.0,607138000000.0,11806000000.0,8240000000.0,34255000000.0
BOAM,2015,An,30210000000.0,535666000000.0,13715000000.0,7126000000.0,38009555419.0
BOAN,2015,An,18053000000.0,262944000000.0,9887000000.0,5795000000.0,27402154395.0
BOAS,2015,An,16971000000.0,361877000000.0,6163000000.0,2079000000.0,26278888676.0
CABC,2015,An,13039493879.0,9155147794.0,1322145141.0,701167520.0,4996398266.0
CBIBF,2015,An,33505000000.0,648214000000.0,23486000000.0,15000000000.0,60544000000.0
CFAC,2015,An,75268877329.0,59589799995.0,6177515567.0,4630508748.0,21737714109.0
CIEC,2015,An,500367000000.0,848845000000.0,10815241000.0,8219879000.0,
ECOC,2015,An,65390000000.0,1071490000000.0,,16961000000.0,58952431000.0
ETIT,2015,An,1251150000000.0,23553900000000.0,,107464000000.0,
FTSC,2015,An,46758815000.0,57476312000.0,3314092000.0,3929175000.0,
NEIC,2015,An,,8959577337.0,-791234999.0,-346599298.0,
NSBC,2015,An,48143000000.0,750062000000.0,16763000000.0,14296000000.0,51194000000.0
NTLC,2015,An,136318000000.0,129951000000.0,8796692227.0,3135116948.0,
ONTBF,2015,An,144774000000.0,198177000000.0,38432698000.0,25277775000.0,
ORGT,2015,An,78923848000.0,1492920000000.0,12990000000.0,7972000000.0,103018000000.0
PALC,2015,An,116473000000.0,148028000000.0,2487649483.0,-482713689.0,
PRSC,2015,An,55789241000.0,31767185000.0,4209188000.0,2781913000.0,
SAFC,2015,An,,65144000000.0,,71000000.0,
SCRC,2015,An,47728000000.0,74490000000.0,8442000000.0,5867000000.0,48896000000.0
SDCC,2015,An,87928604000.0,163830000000.0,4673360000.0,3291132000.0,
SDSC,2015,An,83269203000.0,105774000000.0,3314092000.0,7328376000.0,
SEMC,2015,An,17775341000.0,14849844000.0,1093219000.0,784533000.0,
SGBC,2015,An,81250000000.0,1137670000000.0,,27028000000.0,
SHEC,2015,An,276369000000.0,89672964000.0,5347222000.0,3265657000.0,
SIBC,2015,An,43685000000.0,747276000000.0,21504000000.0,14812000000.0,52435000000.0
SICC,2015,An,861192787.0,1521953318.0,176248418.0,434869656.0,
SIVC,2015,An,8064657885.0,12451723148.0,517800232.0,355537679.0,
SLBC,2015,An,184089000000.0,191090000000.0,29798000000.0,22619000000.0,
SMBC,2015,An,133378000000.0,76217000000.0,8963000000.0,5535000000.0,
SNTS,2015,An,863291000000.0,1213070000000.0,327790000000.0,221089000000.0,
SOGC,2015,An,53473814000.0,82035084000.0,8689545000.0,5993089000.0,
SPHC,2015,An,97449044000.0,126607000000.0,645738000.0,-1779526000.0,
STAC,2015,An,6692011000.0,6654825000.0,479349000.0,340110000.0,
STBC,2015,An,90972011304.0,45517415680.0,15822962606.0,9195626765.0,
SVOC,2015,An,11069000000.0,18892000000.0,-878000000.0,-1292000000.0,
TTLC,2015,An,324279000000.0,99149000000.0,10683000000.0,5415000000.0,
TTLS,2015,An,357211000000.0,122127000000.0,4384414000.0,3953008000.0,20440214193.0
UNLC,2015,An,55909256000.0,60711541000.0,-5302366000.0,-2611303000.0,
UNXC,2015,An,39395242707.0,24324511919.0,7270927797.0,4357587242.0,
ABJC,2016,An,12069724684.0,8590820550.0,1551890657.0,1047333230.0,3797945438.0
BICC,2016,An,42323000000.0,643083000000.0,17466000000.0,12047000000.0,58907792362.0
BNBC,2016,An,44600727000.0,37704140000.0,3723202000.0,2393412000.0,12628487000.0
BOAB,2016,An,39335000000.0,932977000000.0,18728000000.0,16139000000.0,72438241947.0
BOABF,2016,An,33685000000.0,714127000000.0,17513000000.0,12443000000.0,54398016622.0
BOAC,2016,An,29006000000.0,623026000000.0,14751000000.0,10149000000.0,39012885866.0
BOAM,2016,An,29747000000.0,514000000000.0,11761000000.0,9403000000.0,41267577164.0
BOAN,2016,An,19087000000.0,286739000000.0,9850000000.0,6600000000.0,29410854462.0
BOAS,2016,An,21985000000.0,521726000000.0,10739000000.0,4051000000.0,29330071067.0
CABC,2016,An,10472392103.0,10259498642.0,884627483.0,597612951.0,5398033820.0
CBIBF,2016,An,33737000000.0,884998000000.0,21849000000.0,16380000000.0,105312000000.0
CFAC,2016,An,65079283129.0,50368555628.0,5794061784.0,4094266129.0,21201555631.0
CIEC,2016,An,589635000000.0,1048200000000.0,14210307000.0,10780309000.0,
ECOC,2016,An,69997000000.0,1332410000000.0,,21898000000.0,70720245000.0
ETIT,2016,An,1178440000000.0,12763800000000.0,,-122464000000.0,
FTSC,2016,An,40188913000.0,54488990000.0,2157441000.0,2455733000.0,
NEIC,2016,An,3350791142.0,4869324580.0,-1412161570.0,-124705870.0,
NSBC,2016,An,58691000000.0,843226000000.0,23891000000.0,17120000000.0,59199000000.0
NTLC,2016,An,128912000000.0,150708000000.0,4110322172.0,1081956120.0,
ONTBF,2016,An,157472000000.0,193948000000.0,40729790000.0,24043621000.0,
ORGT,2016,An,88818000000.0,1637500000000.0,27834000000.0,15150000000.0,118659000000.0
PALC,2016,An,115126000000.0,131814000000.0,7411484822.0,4132788998.0,
PRSC,2016,An,55652275000.0,33564901000.0,3081699000.0,2016938000.0,
SAFC,2016,An,,68038000000.0,,-452000000.0,
SCRC,2016,An,52799000000.0,79787000000.0,6471000000.0,4269000000.0,49160000000.0
SDCC,2016,An,87982585000.0,171160000000.0,3535852000.0,2707132000.0,
SDSC,2016,An,85335247000.0,110503000000.0,6252750000.0,10122716000.0,
SEMC,2016,An,17707928000.0,14636111000.0,728416000.0,474085000.0,
SGBC,2016,An,89825000000.0,1421920000000.0,,35430000000.0,
SHEC,2016,An,271009000000.0,97502448000.0,7131935000.0,4388766000.0,
SIBC,2016,An,50732000000.0,906911000000.0,25318000000.0,17091000000.0,59456000000.0
SICC,2016,An,1936644069.0,3576424374.0,194461430.0,200831393.0,
SIVC,2016,An,7587239092.0,16984520334.0,-121898110.0,69103740.0,
SLBC,2016,An,191441000000.0,179908000000.0,36558000000.0,27563000000.0,
SMBC,2016,An,92255000000.0,83466000000.0,9180000000.0,6860000000.0,
SNTS,2016,An,905036000000.0,1391300000000.0,323158000000.0,215880000000.0,
SOGC,2016,An,56226765000.0,86500195000.0,8391781000.0,6157146000.0,
SPHC,2016,An,112964000000.0,131081000000.0,3913606000.0,1169859000.0,
STAC,2016,An,4490983000.0,5430269000.0,39691000.0,1112869000.0,
STBC,2016,An,59659204222.0,26223846616.0,5520198745.0,2979331795.0,
SVOC,2016,An,10216000000.0,14693000000.0,-298000000.0,-688000000.0,
TTLC,2016,An,334827000000.0,106898000000.0,12775000000.0,8886000000.0,
TTLS,2016,An,293541000000.0,108840000000.0,2118493000.0,-48280000.0,17070645075.0
UNLC,2016,An,57489135000.0,75558659000.0,-7370420000.0,-10633332000.0,
UNXC,2016,An,37163772757.0,29918909280.0,6427250452.0,4087002631.0,
ABJC,2017,An,13367430980.0,9576510834.0,910336320.0,992622642.0,4190408080.0
BICC,2017,An,48767000000.0,647647000000.0,18748000000.0,9287000000.0,
BNBC,2017,An,41351033000.0,39880242000.0,3419661000.0,2101853000.0,13526571000.0
BOAB,2017,An,42156000000.0,972549000000.0,18494000000.0,12523000000.0,76247691031.0
BOABF,2017,An,36417000000.0,752982000000.0,18854000000.0,12713000000.0,58458927320.0
BOAC,2017,An,30063000000.0,640023000000.0,13911000000.0,9879000000.0,40387000000.0
BOAM,2017,An,29590000000.0,455294000000.0,10171000000.0,4262000000.0,39230161541.0
BOAN,2017,An,19626000000.0,294499000000.0,9911000000.0,7284000000.0,30354032805.0
BOAS,2017,An,24819000000.0,459147000000.0,10609000000.0,11389000000.0,34093000000.0
CABC,2017,An,12476755925.0,11575103681.0,1353230250.0,980205997.0,6128667594.0
CBIBF,2017,An,45269000000.0,1132010000000.0,29218000000.0,19571000000.0,115736000000.0
CFAC,2017,An,89981777048.0,58019897268.0,5941098870.0,4067139922.0,21173318051.0
CIEC,2017,An,593261000000.0,890900000000.0,3562398000.0,1986976000.0,
ECOC,2017,An,74117000000.0,1481550000000.0,33100000000.0,22835000000.0,126398732000.0
ETIT,2017,An,1014870000000.0,12269000000000.0,387756000000.0,126656000000.0,
FTSC,2017,An,46320367000.0,58000496000.0,2982073000.0,2492106000.0,
NEIC,2017,An,6008474693.0,5827748949.0,547722429.0,505507847.0,
NSBC,2017,An,62672000000.0,1013260000000.0,22840000000.0,10015000000.0,88298000000.0
NTLC,2017,An,148480000000.0,145637000000.0,951839489.0,-4307648559.0,
ONTBF,2017,An,162723000000.0,191724000000.0,43558482000.0,28284547000.0,
ORGT,2017,An,104272376000.0,1794200000000.0,27391000000.0,21972000000.0,133262546000.0
PALC,2017,An,134796000000.0,127546000000.0,12469842966.0,8707734117.0,
PRSC,2017,An,51186628000.0,35717569000.0,1561676000.0,682661000.0,
SAFC,2017,An,,71744000000.0,-2858000000.0,-2932000000.0,
SCRC,2017,An,56162000000.0,91140000000.0,3833000000.0,3147000000.0,49317798582.0
SDCC,2017,An,91269535000.0,194876000000.0,2262877000.0,2722632000.0,
SDSC,2017,An,90321343000.0,124080000000.0,8063862000.0,13143413000.0,
SEMC,2017,An,19774366000.0,20186275000.0,403858000.0,149569000.0,
SGBC,2017,An,112757000000.0,1655350000000.0,55756000000.0,39896000000.0,
