Ticker,Date,Variation,Volume Devise Total,Cours Ajuste,Volume Ajuste Total,Cours Normal,Volume Normal Total
ABJC M,2020-03,-29.89,43418190,950,33689,950,33689
ABJC M,2020-02,-10.56,15109605,1355,10665,1355,10665
ABJC M,2020-01,21.2,47254905,1515,34311,1515,34311
ABJC M,2019-12,-3.47,11073710,1250,8797,1250,8797
ABJC M,2019-11,3.6,7803725,1295,6565,1295,6565
ABJC M,2019-10,17.92,16457165,1250,13832,1250,13832
ABJC M,2019-09,-7.02,18045015,1060,16026,1060,16026
ABJC M,2019-08,1.33,9030960,1140,8080,1140,8080
ABJC M,2019-07,-8.91,4597780,1125,4146,1125,4146
ABJC M,2019-06,-11.79,1710750,1235,1284,1235,1284
ABJC M,2019-05,-20.0,14219280,1400,8723,1400,8723
ABJC M,2019-04,4.79,38920545,1750,23199,1750,23199
ABJC M,2019-03,39.17,24046950,1670,15348,1670,15348
ABJC M,2019-02,1.69,81766300,1200,72663,1200,72663
ABJC M,2019-01,-1.67,16697510,1180,14688,1180,14688
ABJC M,2018-12,27.66,21834720,1200,21660,1200,21660
ABJC M,2018-11,-10.48,10295150,940,10803,940,10803
ABJC M,2018-10,-8.7,6860370,1050,6773,1050,6773
ABJC M,2018-09,-11.54,9136255,1150,7973,1150,7973
ABJC M,2018-08,-11.26,9456720,1300,7220,1300,7220
ABJC M,2018-07,-2.33,9324520,1465,6198,1465,6198
ABJC M,2018-06,4.9,12539610,1500,8422,1500,8422
ABJC M,2018-05,-11.46,9768440,1430,6608,1430,6608
ABJC M,2018-04,-7.45,13851165,1615,7675,1615,7675
ABJC M,2018-03,-0.57,19321640,1745,10977,1745,10977
ABJC M,2018-02,16.61,19751880,1755,12593,1755,12593
ABJC M,2018-01,-24.75,18651645,1505,11047,1505,11047
ABJC M,2017-12,79.37,56770410,2000,35049,2000,35049
ABJC M,2017-11,-36.47,16056095,1115,11369,1115,11369
ABJC M,2017-10,-7.63,57281035,1755,31507,1755,31507
ABJC M,2017-09,-2.31,13354200,1900,7235,1900,7235
ABJC M,2017-08,-22.2,90757780,1945,38663,1945,38663
