Ticker,Période_détail,Période,CA_PNB,Total Bilan,RE_RBE,Résultat Net,Capitaux propres
BOAB,T3,2023,35505000000.0,,,17018000000.0,
BOAB,T3,2022,34512000000.0,,,17189000000.0,
BOAB,T3,2021,33492000000.0,,,14778000000.0,
BOAB,T3,2020,34655000000.0,,,12023000000.0,
BOAB,T3,2019,30386000000.0,,,11003000000.0,
BOAB,T3,2018,29131000000.0,,,7596000000.0,
BOAB,T3,2017,28484000000.0,,,9772000000.0,
BOABF,An,2024,57490000000.0,1079053000000.0,30000000000.0,22419000000.0,
BOABF,An,2023,60576000000.0,1098276000000.0,34567000000.0,29063000000.0,
BOABF,An,2022,56646000000.0,1163300000000.0,32632000000.0,25477000000.0,
BOABF,An,2021,50828000000.0,1073229000000.0,28784000000.0,21245000000.0,
BOABF,An,2020,47367000000.0,988181000000.0,25127000000.0,17608000000.0,
BOABF,An,2019,42708000000.0,867213000000.0,23391000000.0,18511000000.0,
BOABF,An,2018,39643000000.0,790804000000.0,20846000000.0,17293000000.0,
BOABF,An,2017,36417000000.0,752982000000.0,18854000000.0,12713000000.0,
BOABF,An,2016,33685000000.0,714127000000.0,17513000000.0,12443000000.0,
BOABF,An,2015,31317000000.0,656797000000.0,17288000000.0,12028000000.0,
BOABF,S1,2024,28659000000.0,,15856000000.0,13194000000.0,
BOABF,S1,2023,29853000000.0,,17989000000.0,15088000000.0,
BOABF,S1,2022,25926000000.0,,15156000000.0,12228000000.0,
BOABF,S1,2021,24175000000.0,,13838000000.0,11936000000.0,
BOABF,S1,2020,23231000000.0,,12655000000.0,9295000000.0,
BOABF,S1,2019,20782000000.0,,11602000000.0,9124000000.0,
BOABF,S1,2018,18698000000.0,,10080000000.0,7624000000.0,
BOABF,S1,2017,17308000000.0,,8820000000.0,6575000000.0,
BOABF,S1,2016,16132000000.0,,8364000000.0,6003000000.0,
BOABF,S2,2024,57490000000.0,,30000000000.0,22419000000.0,
BOABF,S2,2023,60576000000.0,,34567000000.0,29063000000.0,
BOABF,S2,2022,56646000000.0,,32632000000.0,25477000000.0,
BOABF,S2,2021,50828000000.0,,28784000000.0,21245000000.0,
BOABF,S2,2020,47367000000.0,,25132000000.0,17608000000.0,
BOABF,S2,2019,42727000000.0,,23411000000.0,18511000000.0,
